일시,가격
2013-04-10,1446
2013-04-11,1346
2013-04-12,1403
2013-04-13,1403
2013-04-14,1403
2013-04-15,1417
2013-04-16,1417
2013-04-17,1336
2013-04-18,1337
2013-04-19,1337
2013-04-20,1337
2013-04-21,1337
2013-04-22,1280
2013-04-23,1323
2013-04-24,1280
2013-04-25,1481
2013-04-26,1481
2013-04-27,1481
2013-04-28,1481
2013-04-29,1440
2013-04-30,1469
2013-05-01,1469
2013-05-02,1466
2013-05-03,1466
2013-05-04,1466
2013-05-05,1466
2013-05-06,1466
2013-05-07,1466
2013-05-08,1437
2013-05-09,1504
2013-05-10,1504
2013-05-11,1504
2013-05-12,1504
2013-05-13,1504
2013-05-14,1561
2013-05-15,1426
2013-05-16,1410
2013-05-17,1410
2013-05-18,1410
2013-05-19,1410
2013-05-20,1480
2013-05-21,1494
2013-05-22,1396
2013-05-23,1574
2013-05-24,1574
2013-05-25,1574
2013-05-26,1574
2013-05-27,1589
2013-05-28,1589
2013-05-29,1546
2013-05-30,1531
2013-05-31,1560
2013-06-01,1560
2013-06-02,1560
2013-06-03,1603
2013-06-04,1603
2013-06-05,1471
2013-06-06,1471
2013-06-07,1517
2013-06-08,1517
2013-06-09,1517
2013-06-10,1596
2013-06-11,1626
2013-06-12,1626
2013-06-13,1687
2013-06-14,1726
2013-06-15,1726
2013-06-16,1726
2013-06-17,1726
2013-06-18,1771
2013-06-19,1771
2013-06-20,1883
2013-06-21,1869
2013-06-22,1869
2013-06-23,1869
2013-06-24,1874
2013-06-25,1874
2013-06-26,1874
2013-06-27,1874
2013-06-28,1874
2013-06-29,1874
2013-06-30,1874
2013-07-01,1901
2013-07-02,1883
2013-07-03,1916
2013-07-04,1876
2013-07-05,1876
2013-07-06,1876
2013-07-07,1876
2013-07-08,1833
2013-07-09,1876
2013-07-10,1833
2013-07-11,1966
2013-07-12,1907
2013-07-13,1907
2013-07-14,1907
2013-07-15,1946
2013-07-16,1946
2013-07-17,1946
2013-07-18,1829
2013-07-19,1809
2013-07-20,1809
2013-07-21,1809
2013-07-22,1809
2013-07-23,1809
2013-07-24,1751
2013-07-25,1831
2013-07-26,1831
